			Step Name	Total Requested Memory	Total Requested Memory	Total Requested Memory	Total Requested Memory	Max Swap	Max Swap	Max Swap	Max Swap
CAVEMAN	WES	split	1243	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WES	vcf	181	10.0	0.0	10.0	10.0	1.9	1.0	1.0	4.0
CAVEMAN	WGS	add	39	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WGS	annotatevcf	40	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WGS	estep	433963	8.7	1.5	7.0	10.0	1.5	0.7	1.0	8.0
CAVEMAN	WGS	flag	40	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WGS	merge	80	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WGS	mstep	444202	8.6	1.5	7.0	10.0	1.5	0.7	1.0	8.0
CAVEMAN	WGS	setup	6	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WGS	split	1135	10.0	0.0	10.0	10.0	1.0	0.0	1.0	2.0
CAVEMAN	WGS	vcf	61	10.0	0.0	10.0	10.0	3.1	1.7	1.0	5.0
CNVKIT	TGD	cnvkit	6756	10.0	0.0	10.0	10.0	2.0	0.2	1.0	4.0
CNVKIT	TGD	short	226	8.0	0.0	8.0	8.0	1.2	0.4	1.0	2.0
CNVKIT	TGD	theta	2402	10.0	0.0	10.0	10.0	1.0	0.2	1.0	2.0
CNVKIT	WES	cnvkit	547	10.0	0.0	10.0	10.0	2.9	0.5	2.0	4.0
CNVKIT	WES	short	15	8.0	0.0	8.0	8.0	1.7	0.5	1.0	2.0
CNVKIT	WES	theta	367	10.0	0.0	10.0	10.0	1.0	0.2	1.0	2.0
PINDEL	TGD	annotatevcf	5447	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
PINDEL	TGD	flag	728	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
PINDEL	TGD	input	17007	12.0	0.3	8.0	12.0	4.6	0.5	1.0	7.0
PINDEL	TGD	merge	486	9.8	1.3	2.0	10.0	1.2	0.4	1.0	2.0
PINDEL	TGD	pin2vcf	109499	12.0	0.0	12.0	12.0	1.0	0.0	1.0	2.0
PINDEL	TGD	pindel	149412	19.9	0.9	12.0	20.0	1.2	0.4	1.0	10.0
PINDEL	TGD	vcf	702	11.1	3.2	10.0	20.0	1.5	0.7	1.0	3.0
PINDEL	WES	annotatevcf	80	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
PINDEL	WES	flag	30	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
PINDEL	WES	input	217	11.9	0.7	8.0	12.0	23.4	198.4	1.0	2237.0
PINDEL	WES	merge	27	9.7	1.5	2.0	10.0	1.2	0.4	1.0	2.0
PINDEL	WES	pin2vcf	1324	12.0	0.0	12.0	12.0	1.0	0.0	1.0	1.0
PINDEL	WES	pindel	2248	19.9	1.0	12.0	20.0	3.7	24.7	1.0	414.0
PINDEL	WES	vcf	50	12.4	4.3	10.0	20.0	2.4	0.9	1.0	4.0
PINDEL	WGS	annotatevcf	197	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
PINDEL	WGS	flag	197	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
PINDEL	WGS	input	490	12.0	0.0	12.0	12.0	5.3	0.6	4.0	7.0
PINDEL	WGS	merge	244	8.8	2.8	2.0	10.0	1.8	0.4	1.0	2.0
PINDEL	WGS	pin2vcf	4931	12.0	0.0	12.0	12.0	1.0	0.0	1.0	2.0
PINDEL	WGS	pindel	6076	19.2	2.4	12.0	30.0	5.8	4.3	1.0	42.0
PINDEL	WGS	vcf	88	14.5	5.0	10.0	20.0	7.0	1.2	4.0	9.0
