			Run Time	Run Time	Run Time	Run Time	Run Time
CAVEMAN	WGS	merge	167	419.1	198.4	1.0	1082.0
CAVEMAN	WGS	mstep	467308	1369.5	749.0	0.0	7567.0
CAVEMAN	WGS	setup	41	13.0	12.8	4.0	83.0
CAVEMAN	WGS	split	8064	110.0	195.9	0.0	1735.0
CAVEMAN	WGS	vcf	66	530.3	540.6	2.0	3074.0
CNVKIT	TGD	cnvkit	6757	422.3	959.6	55.0	14416.0
CNVKIT	TGD	short	19876	13.9	23.2	1.0	1533.0
CNVKIT	TGD	theta	6757	590.9	3075.0	1.0	63725.0
CNVKIT	WES	cnvkit	547	3262.1	2312.9	1041.0	15843.0
CNVKIT	WES	short	110	77.8	87.7	2.0	341.0
CNVKIT	WES	theta	546	4387.2	53967.1	4.0	942922.0
PINDEL	TGD	annotatevcf	9453	40.5	67.4	0.0	5780.0
PINDEL	TGD	flag	7925	12.9	9.7	2.0	573.0
PINDEL	TGD	input	17984	277.4	235.1	1.0	21043.0
PINDEL	TGD	merge	8730	8.7	6.0	0.0	398.0
PINDEL	TGD	pin2vcf	220795	43.5	164.4	0.0	20512.0
PINDEL	TGD	pindel	224125	59.2	92.3	0.0	8345.0
PINDEL	TGD	vcf	1133	43.8	36.6	0.0	336.0
PINDEL	WES	annotatevcf	121	141.5	150.2	2.0	951.0
PINDEL	WES	flag	220	53.7	111.4	1.0	558.0
PINDEL	WES	input	414	839.9	1371.5	1.0	12458.0
PINDEL	WES	merge	172	26.1	181.0	1.0	2379.0
PINDEL	WES	pin2vcf	4149	51.8	115.8	1.0	2510.0
PINDEL	WES	pindel	4931	157.7	266.3	1.0	4154.0
PINDEL	WES	vcf	84	1388.2	1556.1	1.0	4671.0
PINDEL	WGS	annotatevcf	271	3770.5	2159.5	1.0	13331.0
PINDEL	WGS	flag	223	930.7	992.5	2.0	9473.0
PINDEL	WGS	input	554	18351.2	12693.7	1.0	113567.0
PINDEL	WGS	merge	247	457.4	246.9	2.0	1732.0
PINDEL	WGS	pin2vcf	6500	4132.3	9503.7	1.0	276945.0
PINDEL	WGS	pindel	6875	4485.5	5494.0	0.0	60022.0
PINDEL	WGS	vcf	88	4807.3	4498.2	286.0	24816.0
